farewell,goodbyes
have a pleasant day,goodbyes
till we meet again,goodbyes
so long,goodbyes
have a nice day,goodbyes
ttyl,goodbyes
talk to you soon,goodbyes
see ya,goodbyes
see you later,goodbyes
bye,goodbyes
ja ne,goodbyes
howdy,greetings
good day,greetings
greeting,greetings
greetings,greetings
good afternoon,greetings
ekaro,greetings
good mornin,greetings
hi,greetings
hello,greetings
inaquana,greetings
hey,greetings
holla,greetings
you're appreciated,thank_you
I am grateful,thank_you
oshey ,thank_you
i appreciate,thank_you
ose,thank_you
arigato,thank_you
thank you,thank_you
thnx,thank_you
